Removed Pin From Net: NetName=NRST Pin=J3-1
Removed Pin From Net: NetName=D+3.3V Pin=J3-2
Removed Pin From Net: NetName=SWDIO Pin=J3-4
Removed Pin From Net: NetName=SWCLK Pin=J3-5
Removed Pin From Net: NetName=CH0_IN_FLT Pin=R7_0-1
Removed Pin From Net: NetName=in_UNFLT_0 Pin=R7_0-2
Removed Pin From Net: NetName=CH1_IN_FLT Pin=R7_1-1
Removed Pin From Net: NetName=in_UNFLT_1 Pin=R7_1-2
Removed Pin From Net: NetName=CH2_IN_FLT Pin=R7_2-1
Removed Pin From Net: NetName=in_UNFLT_2 Pin=R7_2-2
Removed Pin From Net: NetName=CH3_IN_FLT Pin=R7_3-1
Removed Pin From Net: NetName=in_UNFLT_3 Pin=R7_3-2
Removed Pin From Net: NetName=CH4_IN_FLT Pin=R7_4-1
Removed Pin From Net: NetName=in_UNFLT_4 Pin=R7_4-2
Removed Pin From Net: NetName=CH5_IN_FLT Pin=R7_5-1
Removed Pin From Net: NetName=in_UNFLT_5 Pin=R7_5-2
Change Component Footprint: Designator=R5 Old Footprint=FP-RC2012-IPC_A New Footprint=RESC1608X55X25NL10T15
Change Component Footprint: Designator=J3 Old Footprint=FP-TSW-106-22-G-S-MFG New Footprint=SMTC-TSW-105-05-X-S
Change Component Footprint: Designator=R7_0 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Component Footprint: Designator=R7_1 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Component Footprint: Designator=R7_2 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Component Footprint: Designator=R7_3 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Component Footprint: Designator=R7_4 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Component Footprint: Designator=R7_5 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Component Footprint: Designator=R2 Old Footprint=RESC1608X55X25LL10T15 New Footprint=FP-RC0603-0_55-IPC_C
Change Component Footprint: Designator=R4 Old Footprint=RESC1608X55X25LL10T15 New Footprint=FP-RC0603-0_55-IPC_C
Change Component Footprint: Designator=R1 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25ML10T15
Change Component Footprint: Designator=R3 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25ML10T15
Change Component Footprint: Designator=R6 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25NL10T15
Change Footprint: Footprint Not Found SOD2513X120N
Change Footprint: Footprint Not Found SOD2513X120N
Change Footprint: Footprint Not Found SOD2513X120N
Change Footprint: Footprint Not Found SOD2513X120N
Change Footprint: Footprint Not Found SOD2513X120N
Change Footprint: Footprint Not Found SOD2513X120N
Change Component Comment : Designator=R6 Old Comment=120 New Comment=RC0603FR-07120RL
Change Component Comment : Designator=J3 Old Comment=61300511121 New Comment=TSW-105-05-G-S
Change Managed Component Library Link : Designator=J3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=48684BE8-5CEF-4D07-9BE2-0D320F6A14ED Old RevisionGUID= New RevisionGUID=52A592D8-1DA5-478A-9D8D-5FADA7FB57C3
Change Managed Component Library Link : Designator=R1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=99126D87-B56D-4C6A-BB85-DD03502333F6 Old RevisionGUID= New RevisionGUID=64F0EF64-E995-48CA-9F08-BE4BC339E17E
Change Managed Component Library Link : Designator=R2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=51846D92-C0CB-4951-BA04-A3CD714416C2 Old RevisionGUID= New RevisionGUID=AF424D90-B815-4E77-82CA-02F9A94112CD
Change Managed Component Library Link : Designator=R3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=99126D87-B56D-4C6A-BB85-DD03502333F6 Old RevisionGUID= New RevisionGUID=64F0EF64-E995-48CA-9F08-BE4BC339E17E
Change Managed Component Library Link : Designator=R4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=51846D92-C0CB-4951-BA04-A3CD714416C2 Old RevisionGUID= New RevisionGUID=AF424D90-B815-4E77-82CA-02F9A94112CD
Change Managed Component Library Link : Designator=R5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=B18F3247-5850-45DF-BAE6-F2552E590F5D Old RevisionGUID= New RevisionGUID=28D33A92-3A02-40D6-9987-7CB4B0991C26
Change Managed Component Library Link : Designator=R6 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=6C61D0BE-B5F0-448B-BCEF-B106F8D79061 Old RevisionGUID= New RevisionGUID=C28EB780-31ED-41EC-8D51-0B93C5CEDB86
Change Managed Component Library Link : Designator=R7_0 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4F63ED3C-7910-4C4C-AE82-34F10D9DD9E5 Old RevisionGUID= New RevisionGUID=889EA3D3-83AF-410C-B754-54C79AAC0340
Change Managed Component Library Link : Designator=R7_1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4F63ED3C-7910-4C4C-AE82-34F10D9DD9E5 Old RevisionGUID= New RevisionGUID=889EA3D3-83AF-410C-B754-54C79AAC0340
Change Managed Component Library Link : Designator=R7_2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4F63ED3C-7910-4C4C-AE82-34F10D9DD9E5 Old RevisionGUID= New RevisionGUID=889EA3D3-83AF-410C-B754-54C79AAC0340
Change Managed Component Library Link : Designator=R7_3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4F63ED3C-7910-4C4C-AE82-34F10D9DD9E5 Old RevisionGUID= New RevisionGUID=889EA3D3-83AF-410C-B754-54C79AAC0340
Change Managed Component Library Link : Designator=R7_4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4F63ED3C-7910-4C4C-AE82-34F10D9DD9E5 Old RevisionGUID= New RevisionGUID=889EA3D3-83AF-410C-B754-54C79AAC0340
Change Managed Component Library Link : Designator=R7_5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4F63ED3C-7910-4C4C-AE82-34F10D9DD9E5 Old RevisionGUID= New RevisionGUID=889EA3D3-83AF-410C-B754-54C79AAC0340
Change component parameters: Designator = "J3" ("J3"); Footprint = "FP-TSW-106-22-G-S-MFG"; UniqueID = "\MBWVEYZM\STITQSJZ" ("\MBWVEYZM\STITQSJZ")
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "10kR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "RC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size Code"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3" ("R3"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\VAUXFIGM\GZTHNVNY" ("\VAUXFIGM\GZTHNVNY")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_5.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. 5, 10/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "NoSVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "0mOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "200ppm/degreesC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\VAUXFIGM\GMDCRZBE" ("\VAUXFIGM\GMDCRZBE")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "0.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "10kR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "RC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size Code"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "FP-RC2012-IPC_A"; UniqueID = "\VAUXFIGM\YKRGIMKR" ("\VAUXFIGM\YKRGIMKR")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "47 uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "2917"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "7343"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "2917"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = "800 mohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.3 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "True"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "16 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "4.3 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\VJWHQSQO\NNRVOAEM" ("\VJWHQSQO\NNRVOAEM")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case\Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Colour"; Value = "Orange"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 4, 02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "20 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "2.1 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination Colour"; Value = "Orange"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Diffused"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Luminous Intensity"; Value = "80 mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Vf"; Value = "2.1 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Wavelength"; Value = "606 nm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "90 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "160 degrees"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7_0" ("R7"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\HSMIWRBP\BJQKBPQP\LEJKSSHM" ("\HSMIWRBP\BJQKBPQP\LEJKSSHM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07340RL"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7_1" ("R7"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\HSMIWRBP\QTYOPDOO\LEJKSSHM" ("\HSMIWRBP\QTYOPDOO\LEJKSSHM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07340RL"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7_2" ("R7"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\HSMIWRBP\OYYCOEYQ\LEJKSSHM" ("\HSMIWRBP\OYYCOEYQ\LEJKSSHM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07340RL"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7_3" ("R7"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\HSMIWRBP\LDHNVYIN\LEJKSSHM" ("\HSMIWRBP\LDHNVYIN\LEJKSSHM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07340RL"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7_4" ("R7"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\HSMIWRBP\QOWTHUQO\LEJKSSHM" ("\HSMIWRBP\QOWTHUQO\LEJKSSHM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07340RL"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7_5" ("R7"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\HSMIWRBP\GKSOBMPE\LEJKSSHM" ("\HSMIWRBP\GKSOBMPE\LEJKSSHM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0603FR-07340RL"; VariantName = "[No Variations]"
Added Pin To Net: NetName=SWCLK Pin=J3-1
Added Pin To Net: NetName=SWDIO Pin=J3-2
Added Pin To Net: NetName=D+3.3V Pin=J3-4
Added Pin To Net: NetName=NRST Pin=J3-5
Added Pin To Net: NetName=in_UNFLT_0 Pin=R7_0-1
Added Pin To Net: NetName=CH0_IN_FLT Pin=R7_0-2
Added Pin To Net: NetName=in_UNFLT_1 Pin=R7_1-1
Added Pin To Net: NetName=CH1_IN_FLT Pin=R7_1-2
Added Pin To Net: NetName=in_UNFLT_2 Pin=R7_2-1
Added Pin To Net: NetName=CH2_IN_FLT Pin=R7_2-2
Added Pin To Net: NetName=in_UNFLT_3 Pin=R7_3-1
Added Pin To Net: NetName=CH3_IN_FLT Pin=R7_3-2
Added Pin To Net: NetName=in_UNFLT_4 Pin=R7_4-1
Added Pin To Net: NetName=CH4_IN_FLT Pin=R7_4-2
Added Pin To Net: NetName=in_UNFLT_5 Pin=R7_5-1
Added Pin To Net: NetName=CH5_IN_FLT Pin=R7_5-2
Added Member To Class: ClassName=STlink Member=Component J3 TSW-105-05-G-S
Added Member To Class: ClassName=MCU Member=Component R1 0
Added Member To Class: ClassName=MCU Member=Component R2 10k
Added Member To Class: ClassName=MCU Member=Component R3 0
Added Member To Class: ClassName=MCU Member=Component R4 10k
Added Member To Class: ClassName=MCU Member=Component R5 330
Added Member To Class: ClassName=Can_Interface Member=Component R6 RC0603FR-07120RL
Added Member To Class: ClassName=0 Member=Component R7_0 (R7) 340
Added Member To Class: ClassName=1 Member=Component R7_1 (R7) 340
Added Member To Class: ClassName=2 Member=Component R7_2 (R7) 340
Added Member To Class: ClassName=3 Member=Component R7_3 (R7) 340
Added Member To Class: ClassName=4 Member=Component R7_4 (R7) 340
Added Member To Class: ClassName=5 Member=Component R7_5 (R7) 340
